epoch;acc;loss;val_acc;val_loss
0;0.785499998331;0.442055849284;0.88849999845;0.273579898775
1;0.875000000596;0.297137661874;0.930499993563;0.197824530751
2;0.904499995112;0.228959771264;0.941499992013;0.158691023551
3;0.919499993324;0.202048533075;0.954499992728;0.136258802675
4;0.937499992251;0.172657873202;0.929499995708;0.167080582436
0;0.939499993324;0.1524892308;0.964999992847;0.114412132166
1;0.950499993563;0.135633306932;0.97499999404;0.0869539828785
2;0.949499992728;0.124566520061;0.975499994159;0.0772684808634
3;0.959499996305;0.104882469559;0.979999995232;0.063765754411
4;0.966499993801;0.0971427084319;0.986499996781;0.0558114243671
5;0.971499994397;0.0814214881975;0.991499997973;0.0462231554929
0;0.979999995828;0.0678135585203;0.992499998212;0.0393069843762
1;0.979499995708;0.0634969940595;0.994499998689;0.0350295627397
2;0.984499996305;0.0533464473393;0.995499998927;0.0315233002836
3;0.985499997139;0.0494346892042;0.996999999285;0.0261748046055
4;0.986499996781;0.0439919592324;0.996999999285;0.0214673145814
5;0.990999997854;0.038144008969;0.996999999285;0.0213983227429
6;0.991999998689;0.0302063420101;0.997999999523;0.0183103399328
0;0.995499998927;0.0256379569578;0.995499998927;0.0221798686089
1;0.994999998808;0.0248055538733;0.999499999881;0.010576761805
2;0.993999998569;0.0213625838596;0.999499999881;0.0104923641507
3;0.996499999762;0.0197553301358;1.0;0.00738863771199
4;0.996999999285;0.0166357614199;1.0;0.00854187765566
5;0.998999999762;0.0128656506556;1.0;0.00521833248727
6;0.998999999762;0.0112826279481;0.999499999881;0.00550738594611
7;0.998499999642;0.0109120477038;1.0;0.003746595548
0;0.997999999523;0.0109740340456;1.0;0.00324171489367
1;0.999499999881;0.00715597364644;0.999499999881;0.00438955142075
2;1.0;0.00713443820452;1.0;0.00313071857352
3;0.998999999762;0.00769343507243;1.0;0.002005329924
4;0.999499999881;0.00493380884072;1.0;0.00152270113802
5;0.999499999881;0.00579565813317;1.0;0.00188755965093
0;0.773500002623;0.459602078944;0.895499997735;0.273717520386
6;0.999499999881;0.00408940590263;1.0;0.0018976755382
1;0.871999997497;0.285295777395;0.920499993563;0.200515563414
7;0.999499999881;0.00454809607632;1.0;0.00101785586332
2;0.912499994636;0.227134109363;0.921499992013;0.201694520265
8;1.0;0.00318896535813;1.0;0.000920172427504
3;0.91449999392;0.206799454596;0.944999994636;0.146015096586
0;1.0;0.00292440714875;1.0;0.000963153742268
4;0.931499992609;0.17398396818;0.948499994874;0.13503679676
1;1.0;0.00202250319799;1.0;0.000614830549966
0;0.937999992967;0.160785692167;0.966499993205;0.102136312909
2;1.0;0.00208320753287;1.0;0.000653064253056
1;0.944999994636;0.139820835665;0.96849999547;0.0953688290901
3;1.0;0.00198645934164;1.0;0.000602206058647
2;0.954999992847;0.119995771339;0.973999994993;0.0786613866314
4;1.0;0.00145276628122;1.0;0.000538853867165
3;0.963999995589;0.103053524997;0.96749999404;0.0830954030715
5;0.999499999881;0.00159239521046;1.0;0.000485835647087
4;0.970499994159;0.0860020395275;0.981999996305;0.0557319436688
6;1.0;0.00116076915114;1.0;0.000351586095867
5;0.973999993801;0.0800627676165;0.989499997497;0.0504954774119
7;1.0;0.00127097692066;1.0;0.00024055834645
0;0.973499996066;0.0732597643929;0.989499997497;0.0484883796796
8;1.0;0.00069700439376;1.0;0.000182950896742
1;0.973999996185;0.0695801164117;0.99349999845;0.036836107946
9;1.0;0.000827129681547;1.0;0.000221646115142
2;0.981499996185;0.0530858059227;0.995499998927;0.0364061557921
0;1.0;0.000530555900771;1.0;0.00010295850971
3;0.987499997616;0.0500147707667;0.996499999166;0.0296804555249
1;1.0;0.000681552644789;1.0;0.000116708801197
4;0.982499995828;0.0473387731891;0.996999999285;0.0225644526584
2;1.0;0.000489948328914;1.0;7.70375247384e-05
5;0.988999997377;0.0407359167095;0.995999999046;0.023366226987
3;1.0;0.000627107956782;1.0;7.17767798096e-05
6;0.990499998331;0.0348183148785;0.998999999762;0.0155121943215
4;1.0;0.000730501184562;1.0;6.16116651918e-05
0;0.996999999285;0.0236598385219;0.999499999881;0.0134481959511
5;1.0;0.00064427989234;1.0;8.28835655102e-05
